00 09:07:46:237 Fichero de log abierto PID 16104

02 09:07:46:237 Intentando abrir fichero v10.ini
02 09:07:46:243 Cargando driver v10oracle funcion damedriveroracle
02 09:07:47:162 Conectado a base de datos
02 09:07:47:165 Proceso ACTSTKORIGEN encontrado en tabla VDPROCESOS
02 09:07:47:166 Proceso ACTSTKORIGEN cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 6F891560
02 09:07:47:166 Proceso ACTSTKDESTINO encontrado en tabla VDPROCESOS
02 09:07:47:166 Proceso ACTSTKDESTINO cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 6F891560
02 09:07:47:166 Proceso ACTSTKORIGEN2 encontrado en tabla VDPROCESOS
02 09:07:47:167 Proceso ACTSTKORIGEN2 cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 6F891560
02 09:07:47:169 PLSQL: INICIALIZADO PAQUETE DE LOG EL DIA 07-04-2022
02 09:07:47:177 Actualizado SID 251 SERIAL 55699 del proceso con PID 16104
02 09:26:04:775 Ejecucion número 10001 del proceso ACTSTKORIGEN total 69800
02 09:26:04:886 Ejecucion número 10001 del proceso ACTSTKDESTINO total 69807
02 09:26:04:887 Ejecucion número 10001 del proceso ACTSTKORIGEN2 total 69807
02 09:44:11:723 Ejecucion número 20001 del proceso ACTSTKORIGEN total 139783
02 09:44:11:832 Ejecucion número 20001 del proceso ACTSTKDESTINO total 139790
02 09:44:11:832 Ejecucion número 20001 del proceso ACTSTKORIGEN2 total 139790
02 10:02:16:427 Ejecucion número 30001 del proceso ACTSTKORIGEN total 209770
02 10:02:16:537 Ejecucion número 30001 del proceso ACTSTKDESTINO total 209777
02 10:02:16:537 Ejecucion número 30001 del proceso ACTSTKORIGEN2 total 209777
02 10:20:21:627 Ejecucion número 40001 del proceso ACTSTKORIGEN total 279746
02 10:20:21:736 Ejecucion número 40001 del proceso ACTSTKDESTINO total 279753
