00 09:09:49:097 Fichero de log abierto PID 17256

00 09:09:49:100 Haciendo bind en puerto -4844 error -1
02 09:09:49:100 Intentando abrir fichero v10.ini
02 09:09:49:107 Cargando driver v10oracle funcion damedriveroracle
02 09:09:49:957 Conectado a base de datos
02 09:09:49:958 Proceso PLANIFRADIO encontrado en tabla VDPROCESOS
02 09:09:49:960 Proceso PLANIFRADIO cargado con función planifmov (Librería VDKERNEL.DLL) direccion 6E305F50
02 09:09:49:962 PLSQL: INICIALIZADO PAQUETE DE LOG EL DIA 12-04-2022
02 09:09:49:972 Actualizado SID 619 SERIAL 45401 del proceso con PID 17256
02 09:27:58:082 Ejecucion número 10001 del proceso PLANIFRADIO total 67545
02 09:46:03:162 Ejecucion número 20001 del proceso PLANIFRADIO total 137525
02 10:04:09:307 Ejecucion número 30001 del proceso PLANIFRADIO total 207513
02 10:22:17:253 Ejecucion número 40001 del proceso PLANIFRADIO total 277503
02 10:40:25:365 Ejecucion número 50001 del proceso PLANIFRADIO total 347485
02 10:58:38:021 Ejecucion número 60001 del proceso PLANIFRADIO total 417463
02 11:43:23:130 Ejecucion número 70001 del proceso PLANIFRADIO total 487444
02 12:01:32:467 Ejecucion número 80001 del proceso PLANIFRADIO total 557425
02 12:19:42:307 Ejecucion número 90001 del proceso PLANIFRADIO total 627408
02 12:37:50:695 Ejecucion número 100001 del proceso PLANIFRADIO total 697391
02 12:55:57:095 Ejecucion número 110001 del proceso PLANIFRADIO total 767383
02 13:14:05:982 Ejecucion número 120001 del proceso PLANIFRADIO total 837368
02 13:32:15:105 Ejecucion número 130001 del proceso PLANIFRADIO total 907359
02 13:50:23:840 Ejecucion número 140001 del proceso PLANIFRADIO total 977347
02 14:08:29:909 Ejecucion número 150001 del proceso PLANIFRADIO total 1047337
02 14:26:35:805 Ejecucion número 160001 del proceso PLANIFRADIO total 1117320
02 14:44:41:557 Ejecucion número 170001 del proceso PLANIFRADIO total 1187314
02 15:02:48:432 Ejecucion número 180001 del proceso PLANIFRADIO total 1257300
02 16:15:05:360 Ejecucion número 190001 del proceso PLANIFRADIO total 1327262
02 16:33:13:319 Ejecucion número 200001 del proceso PLANIFRADIO total 1397243
02 16:51:21:094 Ejecucion número 210001 del proceso PLANIFRADIO total 1467235
02 17:09:29:605 Ejecucion número 220001 del proceso PLANIFRADIO total 1537224
02 17:27:38:542 Ejecucion número 230001 del proceso PLANIFRADIO total 1607217
02 17:45:47:230 Ejecucion número 240001 del proceso PLANIFRADIO total 1677198

00 17:57:43:532 Fichero de log cerrado.

