00 09:05:47:682 Fichero de log abierto PID 11672

02 09:05:47:682 Intentando abrir fichero v10.ini
02 09:05:47:688 Cargando driver v10oracle funcion damedriveroracle
02 09:05:48:473 Conectado a base de datos
02 09:05:48:476 Proceso ACTSTKORIGEN encontrado en tabla VDPROCESOS
02 09:05:48:477 Proceso ACTSTKORIGEN cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 705F1560
02 09:05:48:477 Proceso ACTSTKDESTINO encontrado en tabla VDPROCESOS
02 09:05:48:477 Proceso ACTSTKDESTINO cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 705F1560
02 09:05:48:477 Proceso ACTSTKORIGEN2 encontrado en tabla VDPROCESOS
02 09:05:48:477 Proceso ACTSTKORIGEN2 cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 705F1560
02 09:05:48:479 PLSQL: INICIALIZADO PAQUETE DE LOG EL DIA 23-03-2022
02 09:05:48:487 Actualizado SID 876 SERIAL 27003 del proceso con PID 11672
02 09:23:55:602 Ejecucion número 10001 del proceso ACTSTKORIGEN total 68117
02 09:23:55:603 Ejecucion número 10001 del proceso ACTSTKDESTINO total 68117
02 09:23:55:603 Ejecucion número 10001 del proceso ACTSTKORIGEN2 total 68117
02 09:41:59:248 Ejecucion número 20001 del proceso ACTSTKORIGEN total 138101
02 09:41:59:361 Ejecucion número 20001 del proceso ACTSTKDESTINO total 138108
02 09:41:59:362 Ejecucion número 20001 del proceso ACTSTKORIGEN2 total 138108
02 10:00:02:728 Ejecucion número 30001 del proceso ACTSTKORIGEN total 208092
02 10:00:02:837 Ejecucion número 30001 del proceso ACTSTKDESTINO total 208099
02 10:00:02:838 Ejecucion número 30001 del proceso ACTSTKORIGEN2 total 208099
02 10:18:11:742 Ejecucion número 40001 del proceso ACTSTKORIGEN total 278066
02 10:18:11:852 Ejecucion número 40001 del proceso ACTSTKDESTINO total 278073
02 10:18:11:898 Ejecucion número 40001 del proceso ACTSTKORIGEN2 total 278076
02 10:36:23:596 Ejecucion número 50001 del proceso ACTSTKORIGEN total 348052
02 10:36:23:706 Ejecucion número 50001 del proceso ACTSTKDESTINO total 348059
02 10:36:23:797 Ejecucion número 50001 del proceso ACTSTKORIGEN2 total 348065
02 10:54:27:668 Ejecucion número 60001 del proceso ACTSTKORIGEN total 418028
02 10:54:27:777 Ejecucion número 60001 del proceso ACTSTKDESTINO total 418035
02 10:54:27:887 Ejecucion número 60001 del proceso ACTSTKORIGEN2 total 418042
02 11:12:30:371 Ejecucion número 70001 del proceso ACTSTKORIGEN total 488021
02 11:12:30:478 Ejecucion número 70001 del proceso ACTSTKDESTINO total 488028
02 11:12:30:587 Ejecucion número 70001 del proceso ACTSTKORIGEN2 total 488035
02 11:30:36:887 Ejecucion número 80001 del proceso ACTSTKORIGEN total 558010
02 11:30:37:000 Ejecucion número 80001 del proceso ACTSTKDESTINO total 558017
02 11:30:37:110 Ejecucion número 80001 del proceso ACTSTKORIGEN2 total 558024
02 12:07:32:430 Ejecucion número 90001 del proceso ACTSTKORIGEN total 627983
02 12:07:32:542 Ejecucion número 90001 del proceso ACTSTKDESTINO total 627990
02 12:07:32:650 Ejecucion número 90001 del proceso ACTSTKORIGEN2 total 627997
02 12:25:41:515 Ejecucion número 100001 del proceso ACTSTKORIGEN total 697965
02 12:25:41:622 Ejecucion número 100001 del proceso ACTSTKDESTINO total 697972
02 12:25:41:730 Ejecucion número 100001 del proceso ACTSTKORIGEN2 total 697979
02 12:43:51:367 Ejecucion número 110001 del proceso ACTSTKORIGEN total 767953
02 12:43:51:475 Ejecucion número 110001 del proceso ACTSTKDESTINO total 767960
02 12:43:51:587 Ejecucion número 110001 del proceso ACTSTKORIGEN2 total 767967
02 13:02:00:619 Ejecucion número 120001 del proceso ACTSTKORIGEN total 837934
02 13:02:00:729 Ejecucion número 120001 del proceso ACTSTKDESTINO total 837941
02 13:02:00:839 Ejecucion número 120001 del proceso ACTSTKORIGEN2 total 837948
02 13:20:09:912 Ejecucion número 130001 del proceso ACTSTKORIGEN total 907908
02 13:20:10:132 Ejecucion número 130001 del proceso ACTSTKDESTINO total 907922
02 13:20:10:255 Ejecucion número 130001 del proceso ACTSTKORIGEN2 total 907930
02 13:38:21:790 Ejecucion número 140001 del proceso ACTSTKORIGEN total 977899
02 13:38:22:010 Ejecucion número 140001 del proceso ACTSTKDESTINO total 977913
02 13:38:22:152 Ejecucion número 140001 del proceso ACTSTKORIGEN2 total 977922
02 13:56:30:954 Ejecucion número 150001 del proceso ACTSTKORIGEN total 1047892
02 13:56:31:174 Ejecucion número 150001 del proceso ACTSTKDESTINO total 1047906
02 13:56:31:310 Ejecucion número 150001 del proceso ACTSTKORIGEN2 total 1047915
02 14:14:39:590 Ejecucion número 160001 del proceso ACTSTKORIGEN total 1117885
02 14:14:39:810 Ejecucion número 160001 del proceso ACTSTKDESTINO total 1117899
02 14:14:39:947 Ejecucion número 160001 del proceso ACTSTKORIGEN2 total 1117908
02 14:32:48:057 Ejecucion número 170001 del proceso ACTSTKORIGEN total 1187876
02 14:32:48:277 Ejecucion número 170001 del proceso ACTSTKDESTINO total 1187890
02 14:32:48:415 Ejecucion número 170001 del proceso ACTSTKORIGEN2 total 1187899
02 14:50:56:444 Ejecucion número 180001 del proceso ACTSTKORIGEN total 1257853
02 14:50:56:772 Ejecucion número 180001 del proceso ACTSTKDESTINO total 1257874
02 14:50:56:885 Ejecucion número 180001 del proceso ACTSTKORIGEN2 total 1257881
02 15:58:09:785 Ejecucion número 190001 del proceso ACTSTKORIGEN total 1327826
02 15:58:10:112 Ejecucion número 190001 del proceso ACTSTKDESTINO total 1327847
02 15:58:10:222 Ejecucion número 190001 del proceso ACTSTKORIGEN2 total 1327854
02 16:16:18:887 Ejecucion número 200001 del proceso ACTSTKORIGEN total 1397783
02 16:16:19:247 Ejecucion número 200001 del proceso ACTSTKDESTINO total 1397806
02 16:16:19:357 Ejecucion número 200001 del proceso ACTSTKORIGEN2 total 1397813
02 16:34:27:769 Ejecucion número 210001 del proceso ACTSTKORIGEN total 1467768
02 16:34:28:155 Ejecucion número 210001 del proceso ACTSTKDESTINO total 1467793
