00 09:09:49:102 Fichero de log abierto PID 9520

02 09:09:49:115 Intentando abrir fichero v10.ini
02 17:09:30:945 Ejecucion número 220001 del proceso ACTSTKDESTINO total 1537299
02 17:09:31:022 Ejecucion número 220001 del proceso ACTSTKORIGEN2 total 1537304
02 17:27:39:634 Ejecucion número 230001 del proceso ACTSTKORIGEN total 1607276
02 17:27:39:850 Ejecucion número 230001 del proceso ACTSTKDESTINO total 1607290
02 17:27:39:962 Ejecucion número 230001 del proceso ACTSTKORIGEN2 total 1607297
02 17:45:48:317 Ejecucion número 240001 del proceso ACTSTKORIGEN total 1677257
02 17:45:48:535 Ejecucion número 240001 del proceso ACTSTKDESTINO total 1677271
02 17:45:48:642 Ejecucion número 240001 del proceso ACTSTKORIGEN2 total 1677278

00 17:57:43:699 Fichero de log cerrado.

