00 09:07:46:327 Fichero de log abierto PID 12900

00 09:07:46:328 Haciendo bind en puerto -4844 error -1
02 09:07:46:330 Intentando abrir fichero v10.ini
02 09:07:46:335 Cargando driver v10oracle funcion damedriveroracle
02 09:07:47:042 Conectado a base de datos
02 09:07:47:045 Proceso PLANIFRADIO encontrado en tabla VDPROCESOS
02 09:07:47:046 Proceso PLANIFRADIO cargado con función planifmov (Librería VDKERNEL.DLL) direccion 6F885F50
02 09:07:47:048 PLSQL: INICIALIZADO PAQUETE DE LOG EL DIA 07-04-2022
02 09:07:47:057 Actualizado SID 754 SERIAL 44312 del proceso con PID 12900
02 09:26:04:337 Ejecucion número 10001 del proceso PLANIFRADIO total 69787
02 09:44:11:292 Ejecucion número 20001 del proceso PLANIFRADIO total 139768
02 10:02:15:993 Ejecucion número 30001 del proceso PLANIFRADIO total 209754
02 10:20:20:977 Ejecucion número 40001 del proceso PLANIFRADIO total 279726
02 10:38:27:687 Ejecucion número 50001 del proceso PLANIFRADIO total 349686
02 10:56:35:657 Ejecucion número 60001 del proceso PLANIFRADIO total 419678
02 11:14:44:991 Ejecucion número 70001 del proceso PLANIFRADIO total 489641
02 11:59:04:654 Ejecucion número 80001 del proceso PLANIFRADIO total 559619
02 12:17:14:057 Ejecucion número 90001 del proceso PLANIFRADIO total 629538
02 12:35:23:199 Ejecucion número 100001 del proceso PLANIFRADIO total 699525
02 12:53:32:740 Ejecucion número 110001 del proceso PLANIFRADIO total 769516
02 13:11:40:405 Ejecucion número 120001 del proceso PLANIFRADIO total 839491
02 13:29:49:155 Ejecucion número 130001 del proceso PLANIFRADIO total 909470
02 13:47:56:745 Ejecucion número 140001 del proceso PLANIFRADIO total 979447
02 14:06:05:984 Ejecucion número 150001 del proceso PLANIFRADIO total 1049432
02 14:24:15:285 Ejecucion número 160001 del proceso PLANIFRADIO total 1119352
02 14:42:24:710 Ejecucion número 170001 del proceso PLANIFRADIO total 1189241
02 15:59:42:680 Ejecucion número 180001 del proceso PLANIFRADIO total 1259206
02 16:17:50:157 Ejecucion número 190001 del proceso PLANIFRADIO total 1329198
02 16:35:56:757 Ejecucion número 200001 del proceso PLANIFRADIO total 1399188
02 16:54:03:997 Ejecucion número 210001 del proceso PLANIFRADIO total 1469178
02 17:12:12:540 Ejecucion número 220001 del proceso PLANIFRADIO total 1539165
02 17:30:18:585 Ejecucion número 230001 del proceso PLANIFRADIO total 1609129
02 17:48:25:297 Ejecucion número 240001 del proceso PLANIFRADIO total 1679090

00 17:54:57:630 Fichero de log cerrado.

