[HEADER]
;;;;10048;;;;;;;;;;;PDN;8155065;A87JCnN;
[LINES]
;;;;603472;;P6N11;3;
;;;;754846;2.565;B-066;3;
;;;;754846;;R2KA1;1;
;;;;754846;;R2KC1;2;
